Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-33.806361,25.54564,-90,bottom
C2,C,C_Disc_D3.0mm_W1.6mm_P2.50mm,-49.046361,22.26364,90,bottom
C3,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-33.806361,30.62564,90,bottom
C4,C,C_Disc_D3.0mm_W1.6mm_P2.50mm,-49.066361,29.35564,90,bottom
J2,Conn_01x04_Socket,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,27.179639,-46.51136,180,bottom
J4,UJ32-C-V-G-TH-5-P24-TR,USB_C_Receptacle_GCT_USB4115-03-C,0.079639,23.31864,180,bottom
U1,AZ1084-3.3,TO-252-2,-41.348361,24.53214,0,bottom
U2,AZ1084-5.0,TO-252-2,-41.416361,31.64164,0,bottom
U3,TWE-L-WX,MonoWireless_TWE-L-WX,0.039654,49.009804,45,bottom
D1,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,0.119639,66.57364,-90,top
D2,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,47.159269,46.990074,-135,top
D3,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,66.573641,-0.11964,180,top
D4,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,46.990075,-47.159271,135,top
D5,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-0.119641,-66.573641,90,top
D6,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-47.159271,-46.990073,45,top
D7,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-66.573639,0.119641,0,top
D8,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-46.990072,47.15927,-45,top
D9,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,6.644421,66.241343,-95.625,top
D10,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,51.538017,42.141387,-140.625,top
D11,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,66.241344,-6.644422,174.375,top
D12,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,42.141388,-51.538019,129.375,top
D13,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-6.644423,-66.241344,84.375,top
D14,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-51.538019,-42.141386,39.375,top
D15,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-66.241342,6.644423,-5.625,top
D16,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-42.141385,51.538018,-50.625,top
D17,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,13.105213,65.271106,-101.25,top
D18,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.420426,36.886856,-146.25,top
D19,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,65.271107,-13.105214,168.75,top
D20,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,36.886856,-55.420428,123.75,top
D21,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-13.105215,-65.271106,78.75,top
D22,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-55.420427,-36.886854,33.75,top
