Designator,Val,Package,MidX,MidY,Rotation,Layer
D1,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,3.428423,55.774729,-93.515625,bottom
D2,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,41.86295,37.014428,-138.515625,bottom
D3,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.774729,-3.428423,176.484375,bottom
D4,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,37.014428,-41.86295,131.484375,bottom
D5,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-3.428423,-55.774729,86.484375,bottom
D6,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-41.86295,-37.014428,41.484375,bottom
D7,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-55.774729,3.428423,-3.515625,bottom
D8,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-37.014428,41.86295,-48.515625,bottom
D9,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,8.878794,55.170114,-99.140625,bottom
D10,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,45.289417,32.732907,-144.140625,bottom
D11,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.170114,-8.878794,170.859375,bottom
D12,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,32.732907,-45.289417,125.859375,bottom
D13,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-8.878794,-55.170114,80.859375,bottom
D14,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-45.289417,-32.732907,35.859375,bottom
D15,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-55.170114,8.878794,-9.140625,bottom
D16,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-32.732907,45.289417,-54.140625,bottom
D17,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,14.243657,54.034181,-104.765625,bottom
D18,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,48.279722,28.13615,-149.765625,bottom
D19,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,54.034181,-14.243657,165.234375,bottom
D20,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,28.13615,-48.279722,120.234375,bottom
D21,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-14.243657,-54.034181,75.234375,bottom
D22,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-48.279722,-28.13615,30.234375,bottom
D23,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-54.034181,14.243657,-14.765625,bottom
D24,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-28.13615,48.279722,-59.765625,bottom
D25,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,19.471346,52.37787,-110.390625,bottom
D26,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,50.805067,23.268427,-155.390625,bottom
D27,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.37787,-19.471346,159.609375,bottom
D28,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,23.268427,-50.805067,114.609375,bottom
D29,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-19.471346,-52.37787,69.609375,bottom
D30,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-50.805067,-23.268427,24.609375,bottom
D31,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-52.37787,19.471346,-20.390625,bottom
D32,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-23.268427,50.805067,-65.390625,bottom
D33,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,24.511515,50.21713,-116.015625,bottom
D34,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,52.841131,18.176616,-161.015625,bottom
D35,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,50.21713,-24.511515,153.984375,bottom
D36,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,18.176616,-52.841131,108.984375,bottom
D37,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-24.511515,-50.21713,63.984375,bottom
D38,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-52.841131,-18.176616,18.984375,bottom
D39,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-50.21713,24.511515,-26.015625,bottom
D40,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-18.176616,52.841131,-71.015625,bottom
D41,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,29.315625,47.572772,-121.640625,bottom
D42,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,54.368306,12.909753,-166.640625,bottom
D43,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,47.572772,-29.315625,148.359375,bottom
D44,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,12.909753,-54.368306,103.359375,bottom
D45,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-29.315625,-47.572772,58.359375,bottom
D46,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-54.368306,-12.909753,13.359375,bottom
D47,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-47.572772,29.315625,-31.640625,bottom
D48,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-12.909753,54.368306,-76.640625,bottom
D49,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,33.837408,44.470262,-127.265625,bottom
D50,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.371885,7.518563,-172.265625,bottom
D51,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,44.470262,-33.837408,142.734375,bottom
D52,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,7.518563,-55.371885,97.734375,bottom
D53,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-33.837408,-44.470262,52.734375,bottom
D54,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-55.371885,-7.518563,7.734375,bottom
D55,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-44.470262,33.837408,-37.265625,bottom
D56,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-7.518563,55.371885,-82.265625,bottom
D57,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,38.03332,40.93948,-132.890625,bottom
D58,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,55.842202,2.054965,-177.890625,bottom
D59,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,40.93948,-38.03332,137.109375,bottom
D60,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,2.054965,-55.842202,92.109375,bottom
D61,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-38.03332,-40.93948,47.109375,bottom
D62,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-55.842202,-2.054965,2.109375,bottom
D63,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-40.93948,38.03332,-42.890625,bottom
D64,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,-2.054965,55.842202,-87.890625,bottom
Q1,Q_Photo_NPN,NJL7502,-0.001823,-56.354998,0,bottom
Q2,Q_Photo_NPN,NJL7502,0.001824,56.355,180,bottom
Q3,Q_Photo_NPN,NJL7502,-5.52557,-56.083455,-5.625,bottom
Q4,Q_Photo_NPN,NJL7502,5.525571,56.083456,174.375,bottom
Q5,Q_Photo_NPN,NJL7502,-10.996103,-55.271797,-11.25,bottom
Q6,Q_Photo_NPN,NJL7502,10.996104,55.271798,168.75,bottom
Q7,Q_Photo_NPN,NJL7502,-16.360737,-53.927842,-16.875,bottom
Q8,Q_Photo_NPN,NJL7502,16.360738,53.927843,163.125,bottom
Q9,Q_Photo_NPN,NJL7502,-21.567808,-52.064532,-22.5,bottom
Q10,Q_Photo_NPN,NJL7502,21.56781,52.064533,157.5,bottom
Q11,Q_Photo_NPN,NJL7502,-26.56717,-49.699812,-28.125,bottom
Q12,Q_Photo_NPN,NJL7502,26.567172,49.699813,151.875,bottom
Q13,Q_Photo_NPN,NJL7502,-31.310675,-46.856456,-33.75,bottom
Q14,Q_Photo_NPN,NJL7502,31.310677,46.856457,146.25,bottom
Q15,Q_Photo_NPN,NJL7502,-35.752641,-43.561847,-39.375,bottom
Q16,Q_Photo_NPN,NJL7502,35.752643,43.561847,140.625,bottom
Q17,Q_Photo_NPN,NJL7502,-39.85029,-39.847713,-45,bottom
Q18,Q_Photo_NPN,NJL7502,39.850292,39.847713,135,bottom
Q19,Q_Photo_NPN,NJL7502,-43.564159,-35.749824,-50.625,bottom
Q20,Q_Photo_NPN,NJL7502,43.564161,35.749824,129.375,bottom
Q21,Q_Photo_NPN,NJL7502,-46.858481,-31.307645,-56.25,bottom
Q22,Q_Photo_NPN,NJL7502,46.858483,31.307644,123.75,bottom
Q23,Q_Photo_NPN,NJL7502,-49.70153,-26.563956,-61.875,bottom
Q24,Q_Photo_NPN,NJL7502,49.701532,26.563955,118.125,bottom
Q25,Q_Photo_NPN,NJL7502,-52.065927,-21.564441,-67.5,bottom
Q26,Q_Photo_NPN,NJL7502,52.065928,21.56444,112.5,bottom
Q27,Q_Photo_NPN,NJL7502,-53.9289,-16.357249,-73.125,bottom
Q28,Q_Photo_NPN,NJL7502,53.928901,16.357248,106.875,bottom
Q29,Q_Photo_NPN,NJL7502,-56.083812,-5.521943,-84.375,bottom
Q30,Q_Photo_NPN,NJL7502,55.272509,10.992527,101.25,bottom
Q31,Q_Photo_NPN,NJL7502,-55.272508,-10.992528,-78.75,bottom
Q32,Q_Photo_NPN,NJL7502,56.083813,5.521942,95.625,bottom
Q33,Q_Photo_NPN,NJL7502,-56.354998,0.001822,-90,bottom
Q34,Q_Photo_NPN,NJL7502,56.354999,-0.001823,90,bottom
Q35,Q_Photo_NPN,NJL7502,-56.083455,5.525569,-95.625,bottom
Q36,Q_Photo_NPN,NJL7502,56.083456,-5.52557,84.375,bottom
Q37,Q_Photo_NPN,NJL7502,-55.271797,10.996102,-101.25,bottom
Q38,Q_Photo_NPN,NJL7502,55.271798,-10.996103,78.75,bottom
Q39,Q_Photo_NPN,NJL7502,-53.927842,16.360736,-106.875,bottom
Q40,Q_Photo_NPN,NJL7502,53.927843,-16.360737,73.125,bottom
Q41,Q_Photo_NPN,NJL7502,-52.064532,21.567807,-112.5,bottom
Q42,Q_Photo_NPN,NJL7502,52.064533,-21.567809,67.5,bottom
Q43,Q_Photo_NPN,NJL7502,-49.699812,26.567169,-118.125,bottom
Q44,Q_Photo_NPN,NJL7502,49.699813,-26.567171,61.875,bottom
Q45,Q_Photo_NPN,NJL7502,-46.856456,31.310674,-123.75,bottom
Q46,Q_Photo_NPN,NJL7502,46.856457,-31.310676,56.25,bottom
Q47,Q_Photo_NPN,NJL7502,-43.561847,35.75264,-129.375,bottom
Q48,Q_Photo_NPN,NJL7502,43.561847,-35.752642,50.625,bottom
Q49,Q_Photo_NPN,NJL7502,-39.847713,39.850289,-135,bottom
Q50,Q_Photo_NPN,NJL7502,39.847713,-39.850291,45,bottom
Q51,Q_Photo_NPN,NJL7502,-35.749824,43.564158,-140.625,bottom
Q52,Q_Photo_NPN,NJL7502,35.749824,-43.56416,39.375,bottom
Q53,Q_Photo_NPN,NJL7502,-31.307645,46.85848,-146.25,bottom
Q54,Q_Photo_NPN,NJL7502,31.307644,-46.858482,33.75,bottom
Q55,Q_Photo_NPN,NJL7502,-26.563956,49.701529,-151.875,bottom
Q56,Q_Photo_NPN,NJL7502,26.563955,-49.701531,28.125,bottom
Q57,Q_Photo_NPN,NJL7502,-21.564442,52.065926,-157.5,bottom
Q58,Q_Photo_NPN,NJL7502,21.56444,-52.065927,22.5,bottom
Q59,Q_Photo_NPN,NJL7502,-16.35725,53.928899,-163.125,bottom
Q60,Q_Photo_NPN,NJL7502,16.357248,-53.9289,16.875,bottom
Q61,Q_Photo_NPN,NJL7502,-10.992529,55.272507,-168.75,bottom
Q62,Q_Photo_NPN,NJL7502,10.992527,-55.272508,11.25,bottom
Q63,Q_Photo_NPN,NJL7502,-5.521944,56.083811,-174.375,bottom
