Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,C_Small,C_0402_1005Metric,151.638,-80.772,-90,top
C2,C_Small,C_0402_1005Metric,146.558,-80.01,-90,top
C3,0.1μ,C_0402_1005Metric,140.97,-80.264,0,top
C4,0.1μ,C_0402_1005Metric,140.291,-90.674,90,top
C5,0.1μ,C_0402_1005Metric,139.275,-90.674,90,top
C6,0.1μ,C_0402_1005Metric,138.457,-87.207,-90,top
C7,0.1μ,C_0402_1005Metric,143.129,-79.375,180,top
C9,0.1μ,C_0402_1005Metric,138.457,-84.577,90,top
C10,0.1μ,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,166.116,-78.232,-90,top
C11,0.1μ,C_0402_1005Metric,164.564,-90.678,180,top
D2,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,137.414,-77.47,-90,top
D3,LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,138.634,-77.47,-90,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,142.286,-97.152,0,top
J2,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,135.128,-90.17,180,top
J3,Conn_01x08_Socket,PinHeader_1x08_P2.54mm_Vertical,169.57,-90.17,180,top
J4,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,142.494,-68.834,90,top
J5,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,148.844,-68.834,90,top
J6,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,155.067,-68.834,90,top
J7,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,161.29,-68.834,90,top
R1,5.1k,R_0402_1005Metric,135.636,-94.996,180,top
R2,5.1k,R_0402_1005Metric,135.636,-95.885,180,top
R3,27,R_0402_1005Metric,141.223,-90.674,90,top
R4,27,R_0402_1005Metric,142.24,-90.676,90,top
R5,1k,R_0402_1005Metric,160.018,-80.137,0,top
R6,1k,R_0402_1005Metric,145.034,-79.375,0,top
R8,1k,R_0402_1005Metric,137.414,-80.0525,90,top
R9,100,R_0402_1005Metric,138.634,-80.0525,90,top
REF**,TestPoint_Keystone_5000-5004_Miniature,TestPoint_Keystone_5000-5004_Miniature,142.113,-74.8792,0,top
REF**,TestPoint_Keystone_5000-5004_Miniature,TestPoint_Keystone_5000-5004_Miniature,148.717,-74.8792,0,top
REF**,TestPoint_Keystone_5000-5004_Miniature,TestPoint_Keystone_5000-5004_Miniature,161.036,-74.8284,0,top
REF**,TestPoint_Keystone_5000-5004_Miniature,TestPoint_Keystone_5000-5004_Miniature,154.813,-74.8792,0,top
SW1,SW_Push,SW_SPST_B3U-1000P,156.464,-83.058,-90,top
SW2,SW_Push,SW_SPST_B3U-1000P,159.512,-83.058,-90,top
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,155.321,-89.154,180,top
U2,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,142.875,-85.088,180,top
U3,TB67H450FNG_EL,SOIC127P599X175-9N,142.113,-75.184,90,top
U4,TB67H450FNG_EL,SOIC127P599X175-9N,154.813,-75.184,90,top
U5,TB67H450FNG_EL,SOIC127P599X175-9N,148.717,-75.184,90,top
U6,TB67H450FNG_EL,SOIC127P599X175-9N,161.036,-75.184,90,top
U7,AZ1084-3.3,TO-252-2,164.5945,-85.52,90,top
Y1,Crystal_GND24,Crystal_SMD_2520-4Pin_2.5x2.0mm,149.098,-80.772,0,top
