Comment,Designator,Footprint,LCSC
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_Murata_PKLCS1212E",""
"C_Small","C1,C2","Capacitor_SMD:C_0402_1005Metric","C1557"
"C","C3,C4","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"C","C5,C6,C7,C8,C9,C10,C11,C12","Capacitor_SMD:C_0402_1005Metric","C1525"
"WS2812B","D1","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",""
"USB_C_Receptacle_USB2.0","J1,J20","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","C136423"
"UJ32-C-V-G-TH-5-P24-TR","J14,J19","Connector_USB:USB_C_Receptacle_GCT_USB4115-03-C","C5342428"
"Conn_01x06_Socket","J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J15,J16,J17,J18","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal",""
"Conn_01x04_Socket","J21","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",""
"Conn_01x06_Socket","J22,J23","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical",""
"1k","R1,R2","Resistor_SMD:R_0402_1005Metric","C11702"
"5.1k","R3,R4,R7,R8,R9,R10,R13,R14","Resistor_SMD:R_0402_1005Metric","C25905"
"27","R5,R6,R11,R12","Resistor_SMD:R_0402_1005Metric","C25100"
"SW_Push","SW1,SW2","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx31-2LFS",""
"SW_Push","SW3","Button_Switch_THT:SW_PUSH_6mm",""
"W25Q128JVS","U1","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U2","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"AZ1084-5.0","U3","Package_TO_SOT_SMD:TO-252-2",""
"AZ1084-3.3","U4","Package_TO_SOT_SMD:TO-252-2",""
"Teensy4.0","U5","Teensy_Breakout:Teensy_Brakeout",""
"AE-BNO055-BO","U6","Package_DIP:CERDIP-8_W7.62mm_SideBrazed",""
"Crystal_GND24","Y1","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm","C7294610"
