Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,C_Small,C_0402_1005Metric,-10.655393,-35.820128,-90,bottom
C2,C_Small,C_0402_1005Metric,-12.505393,-33.120128,0,bottom
C3,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-32.375393,-13.940128,180,bottom
C4,C,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,-29.975393,-8.170128,90,bottom
C5,C,C_0402_1005Metric,-18.495393,-11.990128,-90,bottom
C6,C,C_0402_1005Metric,-21.805393,-19.180128,-90,bottom
C7,C,C_0402_1005Metric,-10.185393,-33.420128,180,bottom
C8,C,C_0402_1005Metric,1.274607,-34.760128,0,bottom
C9,C,C_0402_1005Metric,1.274607,-33.930128,0,bottom
C10,C,C_0402_1005Metric,-6.797393,-39.880128,180,bottom
C11,C,C_0402_1005Metric,-1.175393,-29.890128,0,bottom
C12,C,C_0402_1005Metric,0.574607,-32.120128,0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,14.843799,-48.917575,-163.125,bottom
J2,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,6.344607,44.304872,90,bottom
J3,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,44.304871,-6.344608,0,bottom
J4,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-6.344609,-44.304871,-90,bottom
J5,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-44.304872,6.344609,180,bottom
J6,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,22.816393,38.504388,67.5,bottom
J7,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,38.504387,-22.816394,-22.5,bottom
J8,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-22.816395,-38.504387,-112.5,bottom
J9,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-38.504388,22.816395,157.5,bottom
J10,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,35.81459,26.84196,45,bottom
J11,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,26.841959,-35.81459,-45,bottom
J12,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-35.814591,-26.841959,-135,bottom
J13,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-26.84196,35.814592,135,bottom
J14,UJ32-C-V-G-TH-5-P24-TR,USB_C_Receptacle_GCT_USB4115-03-C,0.004607,24.989872,0,bottom
J15,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,43.36034,11.093087,22.5,bottom
J16,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,11.093086,-43.36034,-67.5,bottom
J17,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-43.360341,-11.093086,-157.5,bottom
J18,Conn_01x06_Socket,PinHeader_1x06_P2.54mm_Horizontal,-11.093086,43.360342,112.5,bottom
J19,UJ32-C-V-G-TH-5-P24-TR,USB_C_Receptacle_GCT_USB4115-03-C,6.584607,-29.185128,180,bottom
J20,USB_C_Receptacle_USB2.0,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,-14.834981,-48.92025,163.125,bottom
J22,Conn_01x06_Socket,JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical,-6.325393,31.939872,0,bottom
