Comment,Designator,Footprint,LCSC
"Battery","BT1","Connector_AMASS:AMASS_XT60-M_1x02_P7.20mm_Vertical",""
"Buzzer","BZ1","Buzzer_Beeper:Buzzer_Murata_PKLCS1212E",""
"0.1μ","C1,C2,C3,C6,C7,C8,C9,C11","Capacitor_SMD:C_0402_1005Metric","C1525"
"47μ","C10","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",""
"C_Small","C4,C5","Capacitor_SMD:C_0402_1005Metric","C1557"
"LED","D1,D2,D3,D4,D5","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",""
"D","D6","Diode_THT:D_DO-27_P12.70mm_Horizontal",""
"Fuse15A","F1","Fuse:Fuseholder_Clip-5x20mm_Littelfuse_520_Inline_P20.50x5.80mm_D1.30mm_Horizontal",""
"USB_C_Receptacle_USB2.0","J1","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",""
"Conn_01x08_Socket","J2,J3","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"Conn_01x04_Socket","J4","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"Conn_01x02_Socket","J5","Connector_AMASS:AMASS_XT30PW-F_1x02_P2.50mm_Horizontal",""
"Conn_01x02_Socket","J6","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"PMOS","Q1","Package_TO_SOT_SMD:TO-252-2",""
"1k","R1,R2,R3,R4,R9,R15,R16","Resistor_SMD:R_0402_1005Metric","C11702"
"5.1k","R10,R11","Resistor_SMD:R_0402_1005Metric","C25905"
"27","R12,R13","Resistor_SMD:R_0402_1005Metric","C25100"
"330","R14","Resistor_SMD:R_0402_1005Metric","C25104"
"100","R5","Resistor_SMD:R_0402_1005Metric","C25076"
"80","R6,R7","Resistor_SMD:R_0402_1005Metric",""
"3k","R8","Resistor_SMD:R_0402_1005Metric","C25784"
"Varistor","RV1,RV2","Varistor:RV_Disc_D9mm_W3.3mm_P5mm",""
"SW_Push","SW1,SW2","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"W25Q128JVS","U1","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","C97521"
"RP2040","U2","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","C2040"
"SFH617A-1","U3","Package_DIP:DIP-4_W7.62mm",""
"AZ1084-5.0","U4","Package_TO_SOT_SMD:TO-252-2",""
"Crystal_GND24","Y1","Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm","C7294610"
